name,rating,lat,lng,formatted_address
"St Vincent's Private Hospital, Melbourne (Kew)",4.1,-37.8064793,145.0238036,"5 Studley Ave, Kew VIC 3101, Australia"
St. Vincent's Public Hospital Melbourne,3.9,-37.8070382,144.9749751,"41 Victoria Parade, Fitzroy VIC 3065, Australia"
The Royal Melbourne Hospital,3.2,-37.7986657,144.955973,"300 Grattan St, Parkville VIC 3050, Australia"
Footscray Hospital,2.9,-37.7923293,144.8872193,"160 Gordon St, Footscray VIC 3011, Australia"
Monash Health - Casey Hospital,2.4,-38.045034,145.3461337,"62-70 Kangan Dr, Berwick VIC 3806, Australia"
St Vincents hospital,4,-37.8069141,144.9842552,"Derby St, Collingwood VIC 3066, Australia"
Dandenong Hospital,2.7,-37.976484,145.2192169,"135 David St, Dandenong VIC 3175, Australia"
Vic Public Hospitals,3,-38.1078621,147.0808594,"155 Guthridge Parade, Sale VIC 3850, Australia"
St. Vincent's Hospital Melbourne Emergency Department,2.3,-37.80675189999999,144.9752314,"41 Victoria Parade, Fitzroy VIC 3065, Australia"
Maryborough & District Hospital,2.9,-37.0451603,143.7384714,"77 Clarendon St, Maryborough VIC 3465, Australia"
St John of God Berwick Hospital,4.2,-38.04533190000001,145.3450762,"75 Kangan Dr, Berwick VIC 3806, Australia"
Monash House Private Hospital,3.7,-37.9208003,145.1201788,"Monash House, 271 Clayton Rd, Clayton VIC 3168, Australia"
The Avenue Hospital,3.8,-37.8547708,144.9987172,"40 The Avenue, Windsor VIC 3181, Australia"
Royal Victorian Eye and Ear Hospital,2.7,-37.8089722,144.976047,"The Royal Victorian Eye and Ear Hospital, 32 Gisborne St, East Melbourne VIC 3002, Australia"
Windsor Private Hospital,5,-37.8560026,144.9982332,"20 The Avenue, Windsor VIC 3181, Australia"
"St Vincent's Private Hospital, Melbourne, East Melbourne",4.1,-37.8120635,144.9841212,"159 Grey St, East Melbourne VIC 3002, Australia"
Angliss Hospital,3.6,-37.89867950000001,145.3137132,"39 Albert St, Upper Ferntree Gully VIC 3156, Australia"
Knox Private Hospital,2.9,-37.8494319,145.227497,"262 Mountain Hwy, Wantirna VIC 3152, Australia"
The Royal Melbourne Hospital - Royal Park Campus,3.8,-37.7782846,144.9472969,"34-54 Poplar Rd, Parkville VIC 3052, Australia"
Casey hospital Mortuary,0,-38.0451513,145.3483473,"62-70 Kangan Dr, Berwick VIC 3806, Australia"
The Royal Women's Hospital,3.7,-37.7988194,144.9551944,"20 Flemington Rd, Parkville VIC 3052, Australia"
The Alfred,3.7,-37.846154,144.9827473,"55 Commercial Rd, Melbourne VIC 3004, Australia"
Sunshine Hospital,2.5,-37.7596609,144.8170479,"Furlong Rd, St Albans VIC 3021, Australia"
"St Vincent's Private Hospital, Werribee",4.2,-37.8879563,144.7012542,"240 Hoppers Ln, Werribee VIC 3030, Australia"
Jessie McPherson Private Hospital,3.3,-37.9208214,145.1224793,"246 Clayton Rd, Clayton VIC 3168, Australia"
Vermont Private Hospital,4.2,-37.8581694,145.1996667,"645/647 Burwood Hwy, Vermont South VIC 3133, Australia"
Western Health,3,-37.7594951,144.8163234,"176 Furlong Rd, St Albans VIC 3021, Australia"
Holmesglen Private Hospital,3.3,-37.935839,145.0506572,"490 South Rd, Moorabbin VIC 3189, Australia"
The Bays Hospital,4.7,-38.2241268,145.0418028,"262 Main St, Mornington VIC 3931, Australia"
Box Hill Hospital,3.1,-37.8135607,145.1182877,"8 Arnold St, Box Hill VIC 3128, Australia"
Sandringham Hospital,3.8,-37.961053,145.0177361,"193 Bluff Rd, Sandringham VIC 3191, Australia"
Melbourne Private Hospital,3.5,-37.7983026,144.9572802,"1F Royal Parade, Parkville VIC 3052, Australia"
Austin Hospital,3.3,-37.7562696,145.0586279,"145 Studley Rd, Heidelberg VIC 3084, Australia"
Day Entrance Thomas Embling Hospital,5,-37.7892987,145.0108904,"Thomas Embling Hospital Fairfi, 201 Yarra Bend Rd, Fairfield VIC 3078, Australia"
Beleura Private Hospital.,4,-38.224872,145.0494023,"925 Nepean Hwy, Mornington VIC 3931, Australia"
Cranbourne Centre,0,-38.1130849,145.281615,"140-154 Sladen St, Cranbourne VIC 3977, Australia"
Peninsula Private Hospital,3.6,-38.15771429999999,145.1694092,"525 McClelland Dr, Langwarrin VIC 3910, Australia"
Rosebud Hospital,3.7,-38.3628704,144.8846632,"1527 Point Nepean Rd, Capel Sound VIC 3940, Australia"
Linacre Private Hospital,4.7,-37.9426492,145.0031924,"12 Linacre Rd, Hampton VIC 3188, Australia"
Manningham Private Hospital,4.1,-37.7735634,145.1155995,"Suite 304, Manningham Medical Centre, 200 High St, Templestowe Lower VIC 3107, Australia"
Victoria Public Hospitals,0,-36.9259429,144.7094241,"39-55 Hospital St, Heathcote VIC 3523, Australia"
Alexandra District Health,2.4,-37.1941587,145.7172609,"12 Cooper St, Alexandra VIC 3714, Australia"
Camperdown Hospital,4,-38.2371182,143.1376706,"9 Robinson St, Camperdown VIC 3260, Australia"
Brunswick Private Hospital,2.9,-37.7564796,144.9721741,"82 Moreland Rd, Brunswick VIC 3056, Australia"
Maldon Hospital,4.8,-36.9924824,144.0638653,"1 Chapel St, Maldon VIC 3463, Australia"
Mulgrave Private Hospital Emergency Department,3,-37.9380662,145.2129486,"Mulgrave Private Hospital, Blanton Dr, Mulgrave VIC 3170, Australia"
Day Procedure Unit,0,-37.79872950000001,144.95572,"300 Grattan St, Parkville VIC 3050, Australia"
Victoria Parade Surgery Centre,4.4,-37.808603,144.9749085,"Level 1/100 Victoria Parade, East Melbourne VIC 3002, Australia"
Daylesford Hospital,4.6,-37.3373553,144.1455069,"13 Hospital St, Daylesford VIC 3460, Australia"
Frankston Hospital Loading Bay,0,-38.1509994,145.1292487,"Yuille St, Frankston VIC 3199, Australia"
Latrobe Regional Hospital (LRH),2.5,-38.2185533,146.4717147,"10 Village Ave, Traralgon VIC 3844, Australia"
Waverley Private Hospital,3.7,-37.88436220000001,145.1456568,"343-357 Blackburn Rd, Mount Waverley VIC 3149, Australia"
Inglewood & Districts Health Service,5,-36.5721911,143.8739346,"3 Hospital St, Inglewood VIC 3517, Australia"
Cabrini Malvern,3.5,-37.8626027,145.0333328,"181/183 Wattletree Rd, Malvern VIC 3144, Australia"
Northern Hospital Epping,2.4,-37.6535152,145.0145371,"185 Cooper St, Epping VIC 3076, Australia"
The Royal Melbourne Hospital -Coronary Care Unit,0,-37.7992949,144.9569799,"300 Grattan St, Parkville VIC 3050, Australia"
"St Vincent's Private Hospital, Fitzroy",3.8,-37.8071807,144.9759898,"59 Victoria Parade, Fitzroy VIC 3065, Australia"
Creswick Hospital & Community Health Centre,5,-37.4206383,143.8916757,"1 Napier St, Creswick VIC 3363, Australia"
maryborough hospital,0,-37.0450012,143.73696,"6 Neill St, Maryborough VIC 3465, Australia"
The Royal Melbourne Hospital Intensive Care Unit,4.7,-37.7985908,144.9558491,"300 Grattan St, Parkville VIC 3050, Australia"
