name,rating,lat,lng,formatted_address
VAHI,0,-37.8092885,144.9706918,"50 Lonsdale St, Melbourne VIC 3000, Australia"
Victorian Health Promotion Foundation (VicHealth),2.3,-37.8119391,144.950558,"Level 2/355 Spencer St, West Melbourne VIC 3003, Australia"
Sexual Health Victoria - Melbourne Clinic,3.8,-37.8157629,144.9640726,"Level 1/94 Elizabeth St, Melbourne VIC 3000, Australia"
EACH,0,-38.111366,145.287265,"38 Bakewell St, Cranbourne VIC 3977, Australia"
Mental Health Victoria,3.7,-37.8123544,144.9711221,"136 Exhibition St, Melbourne VIC 3000, Australia"
HealthShare Victoria,4.7,-37.8093176,144.9715668,"Casselden, Level 34/2 Lonsdale St, Melbourne VIC 3000, Australia"
Thorne Harbour Health,4.2,-37.8009699,144.993133,"200 Hoddle St, Abbotsford VIC 3067, Australia"
Health Complaints Commissioner,1.2,-37.8155689,144.9566234,"26/570 Bourke St, Melbourne VIC 3000, Australia"
Department of Health and Human Services,1.6,-37.8092885,144.9706918,"50 Lonsdale St, Melbourne VIC 3000, Australia"
Frankston Community Vaccination Hub,4.4,-38.1426224,145.1236686,"Shannon Street Mall, Frankston VIC 3199, Australia"
Peninsula Health,0,-38.2202369,145.0438696,"62 Tanti Ave, Mornington VIC 3931, Australia"
Sexual Health Victoria - Box Hill Clinic,3.9,-37.8174774,145.1210191,"901 Whitehorse Rd, Box Hill VIC 3128, Australia"
Cardinia Casey Community Health Service Cranbourne,1.5,-38.1131183,145.2806768,"140-154 Sladen St, Cranbourne VIC 3977, Australia"
Head to Health Sale,0,-38.1083635,147.0831761,"10 Inglis St, Sale VIC 3850, Australia"
Estia Health VIC,3.4,-37.848158,145.0774625,"Level 2/1155 Toorak Rd, Camberwell VIC 3124, Australia"
Maryborough District Health Service,3.5,-37.0448906,143.7380248,"75/87 Clarendon St, Maryborough VIC 3465, Australia"
Peninsula Health,3.4,-38.1508127,145.1284726,"2 Hastings Rd, Frankston VIC 3199, Australia"
Cranbourne Park Health & Wellness,2.3,-38.1070271,145.2813289,"24 Mundaring Dr, Cranbourne VIC 3977, Australia"
Stetho Health Cranbourne Medical & Dental Centre,4.6,-38.1224228,145.250228,"1 Ferndown Dr, Cranbourne VIC 3977, Australia"
Unique Medical Centre,4.7,-38.1100332,145.2838197,"100 High St, Cranbourne VIC 3977, Australia"
Health 2020,0,-37.8069638,144.9686946,"1 Rathdowne St, Carlton VIC 3053, Australia"
Health Issues Centre,5,-37.8152473,144.9661527,"Suite 4758, 805/220 Collins St, Melbourne VIC 3000, Australia"
Cranbourne West Medical Centre,4.4,-38.1076469,145.2516937,"Shop S15/19 Strathlea Dr, Cranbourne West VIC 3977, Australia"
Pro Health Family Medical Centre,3.2,-38.1000399,145.2945459,"17/1A Linsell Blvd, Cranbourne East VIC 3977, Australia"
Rowellyn Maternal and Child Health Centre,0,-38.1054188,145.1927045,"37 Rowellyn Ave, Carrum Downs VIC 3201, Australia"
Cranbourne Stawell Clinic,4.6,-38.108516,145.2852814,"12 Stawell St, Cranbourne VIC 3977, Australia"
Healthe Work,0,-37.8160795,144.9841834,"2/176 Wellington Parade, East Melbourne VIC 3002, Australia"
Evans Road Medical Centre,3.2,-38.1018664,145.2541533,"90 Evans Rd, Cranbourne West VIC 3977, Australia"
Monash Health - Cranbourne Integrated Care Centre,3,-38.1130723,145.2816139,"140-154 Sladen St, Cranbourne VIC 3977, Australia"
Physioworks Health Group,4.3,-38.0964164,145.2821044,"1 Cranbourne Pl, Cranbourne VIC 3977, Australia"
Lamb Street Medical & Dental Clinic,5,-38.1121722,145.2805948,"1 Lamb St, Cranbourne VIC 3977, Australia"
Cranbourne Park Family Care Clinic,4.5,-38.1097825,145.2811838,"Shop MM002, High St, Cranbourne VIC 3977, Australia"
Amstel Medical,4.4,-38.1129469,145.279222,"138 Cnr Sladen and, Grant St, Cranbourne VIC 3977, Australia"
Duff Street Medical Clinic,2.9,-38.1030316,145.2656174,"3 Pearl Ct, Cranbourne West VIC 3977, Australia"
Monash Health - Cranbourne Liver Clinic,1,-38.1131337,145.2807759,"154 Sladen St, Cranbourne VIC 3977, Australia"
Western Health,3,-37.7594951,144.8163234,"176 Furlong Rd, St Albans VIC 3021, Australia"
Valetta Street Medical Centre,4.9,-38.1319388,145.3278721,"35 Valetta St, Clyde VIC 3978, Australia"
Goulburn Valley Health,2.7,-36.3637012,145.4045256,"2/2-48 Graham St, Shepparton VIC 3630, Australia"
Victorian Aboriginal Community Controlled Health Organisation Inc.,3,-37.7984774,144.9855397,"17/23 Sackville St, Collingwood VIC 3066, Australia"
Safer Care Victoria,3.7,-37.8092554,144.9706218,"50 Lonsdale St, Melbourne VIC 3000, Australia"
Department of Health and Human Services,1.6,-37.8172791,145.11978,"883 Whitehorse Rd, Box Hill VIC 3128, Australia"
Melbourne Health Company,0,-37.8362308,144.9931386,"18 Yarra St, South Yarra VIC 3141, Australia"
Colac Area Health,4.3,-38.34123750000001,143.5825894,"2-28 Connor St, Colac VIC 3250, Australia"
Zen Oriental Holistic Health Cranbourne,2.8,-38.1099636,145.2820793,"125 High St, Cranbourne VIC 3977, Australia"
Centre For Developmental Disability Health Victoria,4.6,-37.9921555,145.2388132,"67 Power Rd, Doveton VIC 3177, Australia"
Park Avenue Medical Centre,1.9,-38.0931614,145.2931365,"3-7 Kingdom Dr, Cranbourne VIC 3977, Australia"
"Broad Oak Medical, Dental and Specialist Centre",4.8,-38.1015526,145.3024638,"14 Broad Oak Dr, Cranbourne East VIC 3977, Australia"
Total Healing Hands,0,-38.1296116,145.2895829,"Houlder Ave, Junction Village VIC 3977, Australia"
Shalom Healthcare,5,-38.1134137,145.2882407,"207 Sladen St, Cranbourne VIC 3977, Australia"
Dr Faisal Siddiqui,4.5,-38.1074017,145.250293,"19 Strathlea Dr, Cranbourne West VIC 3977, Australia"
Life Health Services - Disability Care Cranbourne West,0,-38.1174565,145.2484725,"3 Rock Daisy Dr, Cranbourne West VIC 3977, Australia"
Duff st. Medical center,3,-38.1034196,145.2646871,"Cranbourne West VIC 3977, Australia"
"Precision Brain, Spine and Pain Centre",3.7,-38.1087802,145.2837054,"132A High St, Cranbourne VIC 3977, Australia"
Monash Health Dental Services,0,-38.1131337,145.2807759,"140-150 Sladen St, Devon Meadows VIC 3977, Australia"
JobCo.Employment Services Inc.,0,-38.1120942,145.2832497,"32 High St, Cranbourne VIC 3977, Australia"
